dates,Labor_2PP,LNP_2PP
"August 21, 2010 (Phone)",51.5,48.5
"August 21, 2010 (SMS - 4pm)",51,49
"August 21, 2010 (SMS - 2pm)",51,49
"August 21, 2010 (SMS - 1pm)",51,49
"August 18-20, 2010 (Phone - Updated)",51,49
"August 18/19, 2010 (Phone)",51,49
"August 14/15, 2010 (Face : Face)",52,48
"August 14, 2010 (Phone)",51,49
"August 7/8, 2010 (Face : Face)",57.5,42.5
"August 3, 2010 (Phone)",50,50
"July 31/ August 1, 2010 (Face : Face)",53,47
"July 27/28, 2010 (Phone)",53,47
"July 24/25, 2010 (Face : Face)",55.5,44.5
"July 20/21, 2010 (Phone)",55.5,44.5
"July 17/18, 2010 (Face : Face)",56,44
"July 10/11, 2010 (Face : Face)",54.5,45.5
"June 26/27 & July 3/4, 2010 (Face : Face)",55,45
"June 25-28, 2010 (Phone)",48.5,51.5
"June 19/20, 2010 (Face : Face)",53,47
"June 12/13, 2010 (Face : Face)",51.5,48.5
"June 5/6, 2010 (Face : Face)",52,48
"May 29/30, 2010 (Face : Face)",52.5,47.5
"May 26/27, 2010 (Phone)",50,50
"May 22/23, 2010 (Face : Face)",54.5,45.5
"May 15/16, 2010 (Face : Face)",50.5,49.5
"May 12/13, 2010 (Phone)",48,52
"May 8/9, 2010 (Face : Face)",51.5,48.5
"May 4/5, 2010 (Phone)",50,50
"April 24/25, 2010 (Face : Face)",54.5,45.5
"April 10/11 & 17/18, 2010 (Face : Face)",56,44
"March 27/28 & April 3/4, 2010 (Face : Face)",58,42
"March 13/14 & 20/21, 2010 (Face : Face)",56.5,43.5
"February 27/28 & March 6/7, 2010 (Face : Face)",55.5,44.5
"February 20/21, 2010 (Face : Face)",56.5,43.5
"February 6/7 & 13/14, 2010 (Face : Face)",57.5,42.5
"February 10/11, 2010 (Phone)",53.5,46.5
"January 23/24 & 30/31, 2010 (Face : Face)",56.5,43.5
"January 9/10 & 16/17, 2010 (Face : Face)",58.5,41.5
